wavelength(Angstrom),flux(erg/s/cm2),flux_smooth(erg/s/cm2)
3636.0,2.0916414335615932e-17,2.276983877205537e-17
3637.0,2.4147242924140167e-17,2.2333089062988597e-17
3638.0,2.483333722662587e-17,2.3708455502370317e-17
3639.0,2.1272246000048982e-17,2.5305177128032452e-17
3640.0,2.73730358408945e-17,2.6515524343932293e-17
3641.0,2.890002076722972e-17,2.640416763550918e-17
3642.0,3.019898606195993e-17,2.788124751173287e-17
3643.0,2.427655453098377e-17,2.7508000458291792e-17
3644.0,2.8657638214824214e-17,2.6096851839972253e-17
3645.0,2.5506805171361068e-17,2.491976886522562e-17
3646.0,2.1844271032678375e-17,2.4559386124670967e-17
3647.0,2.4313574455415678e-17,2.325310415568845e-17
3648.0,2.247463800630315e-17,2.276138829491753e-17
3649.0,2.212622715473813e-17,2.43095610360677e-17
3650.0,2.304823100695479e-17,2.337727389180001e-17
3651.0,2.958513146980691e-17,2.3756843913843444e-17
3652.0,1.9652142048295687e-17,2.3972991170987225e-17
3653.0,2.4372487120724192e-17,2.4190983040897e-17
3654.0,2.3206967200638737e-17,2.3428391999294563e-17
3655.0,2.4138189350743364e-17,2.3811980464753778e-17
3656.0,2.5772177351705955e-17,2.3238117297350215e-17
3657.0,2.1570085493201355e-17,2.3461664512253896e-17
3658.0,2.150316914733018e-17,2.3484502968966485e-17
3659.0,2.432470340328225e-17,2.3842701952703998e-17
3660.0,2.425238084333644e-17,2.419868740112232e-17
3661.0,2.7563173713854267e-17,2.4888392250230258e-17
3662.0,2.335000800262978e-17,2.511958592271638e-17
3663.0,2.4951697752811416e-17,2.4359746083831294e-17
3664.0,2.548067226890051e-17,2.23967174500674e-17
3665.0,2.04531828874346e-17,2.2587814369540626e-17
3666.0,1.7748024243199453e-17,2.312525346585103e-17
3667.0,2.4305496495825345e-17,2.2444245593703473e-17
3668.0,2.763889579320387e-17,2.3225590474153712e-17
3669.0,2.2075630336778717e-17,2.5589303742277066e-17
3670.0,2.4359905940424013e-17,2.5485988883769193e-17
3671.0,2.956659041610769e-17,2.465256636631384e-17
3672.0,2.378891797429174e-17,2.4681056120971392e-17
3673.0,2.347178302140311e-17,2.3926960224259874e-17
3674.0,2.2218082450957365e-17,2.3102593680150752e-17
3675.0,2.05894273951786e-17,2.2496333156875937e-17
3676.0,2.5444753990305392e-17,2.2777470340386784e-17
3677.0,2.0757620738341468e-17,2.3190258281469122e-17
3678.0,2.4877467903154234e-17,2.3310366560773047e-17
3679.0,2.4282022946735382e-17,2.2968870007964204e-17
3680.0,2.1189964720311636e-17,2.2931102595556258e-17
3681.0,2.3737275158664098e-17,2.125461098034196e-17
3682.0,2.056878116954303e-17,2.1203350597782048e-17
3683.0,1.649500796340766e-17,2.124056876226326e-17
3684.0,2.4025726851964785e-17,2.135007424047548e-17
3685.0,2.137605427854801e-17,2.230552740497833e-17
3686.0,2.428480323141346e-17,2.3679641492912645e-17
3687.0,2.5346043859858984e-17,2.3339238472873597e-17
