Wavelength(Angstrom),Flux(10e-16 erg/s/cm2),Flux_error(10e-16 erg/s/cm2)
3878.5001025,36.9975944548,1.45983388837
3879.65171607,32.5976563993,1.39999378997
3880.80332963,25.7377377298,1.40273129458
3881.9549432,22.2333167874,1.31414594198
3883.10655676,18.9175216121,1.3840653354
3884.25817033,11.7395992457,1.57269044068
3885.40978389,13.7729357169,1.39596376603
3886.56139746,21.797838091,1.25175098046
3887.71301102,25.3656573319,1.36316466508
3888.86462458,27.1754131039,1.25518755194
3890.01623815,30.0865594645,1.25473253643
3891.16785171,35.2068503372,1.42257277667
3892.31946528,21.3588929122,1.27097584903
3893.47107884,33.0385306956,1.23883663969
3894.62269241,34.8731574725,1.42945809574
3895.77430597,28.1032826405,1.34396110468
3896.92591954,32.5905201467,1.23843549018
3898.0775331,28.8526039845,1.20527269445
3899.22914667,30.4274775203,1.18065368184
3900.38076023,32.1032115042,1.40882569664
3901.53237379,23.9199563206,1.56889110087
3902.68398736,25.4147323033,1.36033451624
3903.83560092,24.5016794905,1.28436280772
3904.98721449,28.676884882,1.112663803
3906.13882805,13.5193584046,1.19596605229
3907.29044162,12.2720060398,1.27761883727
3908.44205518,24.7822697422,1.15361480198
3909.59366875,23.8689734075,1.08811433974
3910.74528231,26.2925104289,1.05851536896
3911.89689588,28.3774545,1.10431298458
3913.04850944,25.4970956695,1.04395189475
3914.200123,29.8939589954,1.11609031597
3915.35173657,28.7312051049,1.05567966148
3916.50335013,28.5651231198,1.06711050345
3917.6549637,27.5998020215,1.08782350303
3918.80657726,31.1713842062,1.07265850308
3919.95819083,22.3856768388,1.17749821941
3921.10980439,15.1642455662,1.2039874543
3922.26141796,21.2815651569,1.09691924722
3923.41303152,26.1209227296,1.0413942523
3924.56464509,26.0374010459,0.979349816829
3925.71625865,26.8665615979,1.00500320225
3926.86787221,27.629816634,0.988359203364
3928.01948578,23.4337509385,1.02733668175
3929.17109934,21.4066973342,1.00324858674
3930.32271291,22.7504134611,1.03111689715
3931.47432647,18.4259735697,0.857894556616
3932.62594004,21.749004524,0.882621036533
3933.7775536,28.2476085844,0.991701939481
3934.92916717,29.1328533054,0.976863841304
3936.08078073,25.0839384088,0.932212433315
3937.2323943,24.6887594224,0.926401191727
3938.38400786,27.8250174942,0.97376151696
3939.53562142,21.9951290051,0.869677115785
3940.68723499,28.781955084,0.970401509312
3941.83884855,27.2089577262,0.958225410695
3942.99046212,25.1421994525,0.915679011929
3944.14207568,25.6235111017,0.929530647594
3945.29368925,20.9030070745,0.9659712623
3946.44530281,20.5670187505,0.974346234391
3947.59691638,22.9584955749,0.987510913102
3948.74852994,23.4210157982,0.909019744777
3949.90014351,27.4927137635,0.91898402861
3951.05175707,24.1691512961,0.878835725701
3952.20337063,23.8239303129,0.928804383017
3953.3549842,25.7160367457,0.914916616102
3954.50659776,21.3053710179,0.896288376358
3955.65821133,24.6178881757,0.852496442113
3956.80982489,20.8150596436,0.786669144268
3957.96143846,19.6975076664,0.832693936772
3959.11305202,18.558457993,0.935335073214
3960.26466559,16.9528382201,0.814107320757
3961.41627915,17.8108328325,0.751853641681
3962.56789272,16.8628356755,0.757742307375
3963.71950628,18.4689266105,0.752222696584
3964.87111984,17.2042100703,0.687803723362
3966.02273341,17.8493537733,0.690262567364
3967.17434697,19.7720867998,0.723502985716
3968.32596054,19.3730156971,0.710221244405
3969.4775741,19.2702896588,0.718203735839
3970.62918767,22.5583317996,0.773947834366
3971.78080123,26.3675956645,0.843557001971
3972.9324148,21.1621631575,0.790370281201
3974.08402836,21.4469928091,0.828619377423
3975.23564193,20.5157859627,0.758580539121
3976.38725549,23.4996564546,0.790551400668
3977.53886905,22.6065830315,0.764389464603
3978.69048262,21.3230380076,0.754758898516
3979.84209618,21.4635268922,0.748593491277
3980.99370975,23.3889068967,0.763780527323
3982.14532331,22.2910336125,0.741010759689
3983.29693688,20.1010807493,0.701706445703
3984.44855044,18.1388696347,0.681946622881
3985.60016401,18.0760811999,0.673924823824
3986.75177757,20.8038936318,0.710317660577
3987.90339114,20.987138622,0.733959541275
3989.0550047,18.2848218818,0.715010355454
3990.20661826,17.6877684743,0.68118832987
3991.35823183,19.0016213959,0.681509077424
3992.50984539,17.8587770149,0.745461586954
3993.66145896,16.018638171,0.704275536336
3994.81307252,20.0452041034,0.688241665866
3995.96468609,19.0314623666,0.699594421988
3997.11629965,19.0414192389,0.680406941976
3998.26791322,18.2403674752,0.725593304211
3999.41952678,18.0321540712,0.720641933413
4000.57114035,20.0349973563,0.704340519645
4001.72275391,18.4290504169,0.739913653499
4002.87436747,19.3900092956,0.685679589724
4004.02598104,19.2790416267,0.685268911093
4005.1775946,17.9169173564,0.664575300622
4006.32920817,16.9698392301,0.623687299722
4007.48082173,17.5924846793,0.636549296503
4008.6324353,19.2568027767,0.641546327671
4009.78404886,20.9301396574,0.681378382888
4010.93566243,21.3307565953,0.69347692505
4012.08727599,20.7905846266,0.720065553962
4013.23888956,21.820102352,0.749684178545
4014.39050312,20.0578185415,0.669062391486
4015.54211668,18.1168234847,0.628564819835
4016.69373025,19.2541685043,0.677233744797
4017.84534381,19.0141003088,0.673965785808
4018.99695738,19.7721227988,0.634266211838
4020.14857094,21.4845523676,0.667969123414
4021.30018451,16.763396125,0.629454667651
4022.45179807,13.8493423239,0.55622271366
4023.60341164,12.1834063935,0.524936856922
4024.7550252,11.188515375,0.492308684572
4025.90663877,13.4294363282,0.52934235469
4027.05825233,14.4749905049,0.548630254428
4028.20986589,15.3452247433,0.555368732396
4029.36147946,13.1049909456,0.580257869109
4030.51309302,13.2488647857,0.673499454466
4031.66470659,19.0867122082,0.601796858166
4032.81632015,19.5415117261,0.623626419229
4033.96793372,16.2078505084,0.559187858371
4035.11954728,16.9851599386,0.591028488603
4036.27116085,17.3055183871,0.62399977547
4037.42277441,17.4666335828,0.629177529058
4038.57438798,16.634267011,0.696257112176
4039.72600154,17.3111289216,0.644792912313
4040.8776151,17.8432212548,0.608476573223
4042.02922867,19.1056645704,0.636616066522
4043.18084223,19.2818347179,0.627327092941
4044.3324558,17.7379562353,0.633324218556
4045.48406936,16.7448863376,0.611450320612
4046.63568293,17.9164218421,0.599545868109
4047.78729649,17.3701734708,0.592391682253
4048.93891006,16.2350466187,0.559082707172
4050.09052362,15.3966999943,0.546451129822
4051.24213719,16.7541009972,0.548417106528
4052.39375075,15.7638612484,0.529322899402
4053.54536431,15.8443124377,0.524965808243
4054.69697788,19.1623331921,0.61835509497
4055.84859144,17.2259661115,0.576838833852
4057.00020501,15.0482645211,0.547467602446
4058.15181857,15.3459669559,0.527424089762
4059.30343214,17.2961745549,0.563934353075
4060.4550457,15.8390015411,0.600500699233
4061.60665927,14.7163430141,0.485964473972
4062.75827283,13.0646848828,0.591260297698
4063.9098864,9.81459193566,0.728109455285
4065.06149996,13.725237174,0.577609104438
4066.21311352,13.9065562231,0.548155783629
4067.36472709,16.5716130427,0.531278321283
4068.51634065,15.1836468559,0.515392813927
4069.66795422,14.9134613452,0.536379841905
4070.81956778,15.3825513677,0.529038944841
4071.97118135,16.6364820022,0.535686598377
4073.12279491,18.2309908205,0.556888230094
4074.27440848,13.9402554289,0.582455721083
4075.42602204,13.8711513047,0.512267626311
4076.5776356,12.8797775905,0.552186403143
4077.72924917,15.5382074361,0.584141382823
4078.88086273,11.7315683145,0.54049152512
4080.0324763,15.7460290873,0.534757343677
4081.18408986,16.5129814221,0.580431047642
4082.33570343,14.8772718625,0.490100641732
4083.48731699,17.5398024064,0.553143616548
4084.63893056,16.0421422765,0.576050166769
4085.79054412,16.2991426606,0.553566769062
4086.94215769,16.4408512727,0.566269252334
4088.09377125,15.4691594278,0.523131684127
4089.24538481,16.1247978691,0.492311993295
4090.39699838,14.8626690145,0.47850469451
4091.54861194,14.6196796141,0.483796929895
4092.70022551,15.8142861785,0.495834062169
4093.85183907,14.6945954431,0.470238083079
4095.00345264,16.8221113902,0.506989750782
4096.1550662,15.9857150591,0.494938324827
4097.30667977,15.0971118524,0.506041371666
4098.45829333,15.4737969332,0.547032273834
4099.6099069,17.2521860164,0.507523315364
4100.76152046,14.9261657806,0.489152792012
4101.91313402,15.2730427131,0.494168782159
4103.06474759,15.6699284709,0.476817576933
4104.21636115,15.5359691515,0.47888903571
4105.36797472,14.9695963362,0.465306299918
4106.51958828,15.2847476497,0.475192564076
4107.67120185,15.5944176012,0.487493666227
4108.82281541,17.1321413307,0.532293304981
4109.97442898,17.3440890912,0.509064088147
4111.12604254,17.0296069337,0.520827225115
4112.27765611,15.493466097,0.492389649011
4113.42926967,12.72101397,0.494549549939
4114.58088323,15.7950002971,0.493889128938
4115.7324968,15.185603502,0.458451685792
4116.88411036,14.967772039,0.459408369801
4118.03572393,13.4570061918,0.455797163945
4119.18733749,13.9615096031,0.451594821735
4120.33895106,14.3422540893,0.483982780835
4121.49056462,13.1526757242,0.445070616633
4122.64217819,13.1621042597,0.426862882426
4123.79379175,13.4233609844,0.433959099465
4124.94540532,13.963512836,0.491269117066
4126.09701888,13.9019345996,0.457940256563
4127.24863244,14.2361790945,0.469030564821
4128.40024601,15.8751973766,0.471102486819
4129.55185957,16.233544194,0.492664471497
4130.70347314,15.3868108847,0.461809575858
4131.8550867,14.8528190801,0.449794777461
4133.00670027,15.5956532106,0.460398074861
4134.15831383,15.412115994,0.464184874618
4135.3099274,15.5766235566,0.459557030701
4136.46154096,15.4802968523,0.460040964447
4137.61315453,15.1155761119,0.452180829568
4138.76476809,13.2158474414,0.431472495282
4139.91638165,12.7170678552,0.422181900427
4141.06799522,13.2467323802,0.414386351811
4142.21960878,12.1468018647,0.444978204015
4143.37122235,11.758008448,0.41559350611
4144.52283591,13.2461871028,0.439541443634
4145.67444948,14.5299565904,0.44857680364
4146.82606304,13.0571505248,0.421764637439
4147.97767661,15.0297822622,0.455307009801
4149.12929017,16.4066057306,0.468330505325
4150.28090374,15.2580671706,0.442695185525
4151.4325173,14.5994757607,0.430394314984
4152.58413086,15.2792969927,0.440044402534
4153.73574443,15.046500575,0.439488371726
4154.88735799,13.2861405881,0.411745825859
4156.03897156,13.367582806,0.410636179611
4157.19058512,15.0614316483,0.458277051421
4158.34219869,15.7428018917,0.489487932509
4159.49381225,14.9748902921,0.432267283502
4160.64542582,14.1028815196,0.451743648071
4161.79703938,14.9002042208,0.461416896678
4162.94865295,12.7426471915,0.458520308696
4164.10026651,14.0,0.547031645176
4165.25188007,14.0,0.460275486694
4166.40349364,15.3282216157,0.426393308536
4167.5551072,13.8142317494,0.418121601672
4168.70672077,12.26410534,0.41933663073
4169.85833433,12.0642246227,0.389736071772
4171.0099479,13.2680913748,0.397118791088
4172.16156146,12.4961023703,0.382126738055
4173.31317503,13.6301852543,0.397688586181
4174.46478859,13.6918450177,0.406379673615
4175.61640216,13.4143136137,0.400943541891
4176.76801572,12.3502062391,0.385296427988
4177.91962928,13.4585943786,0.399400883136
4179.07124285,14.1564595299,0.41291886723
4180.22285641,13.8015431959,0.411091856867
4181.37446998,13.921433298,0.411582507319
4182.52608354,13.2878028903,0.390883338194
4183.67769711,13.6126717893,0.390579862171
4184.82931067,13.9085160456,0.392191805574
4185.98092424,13.3449956137,0.404603022008
4187.1325378,12.4998621378,0.397346927501
4188.28415137,12.9556664486,0.387414076531
4189.43576493,12.7990542918,0.372931897628
4190.58737849,13.0094593935,0.382321919592
4191.73899206,13.2614104024,0.388250653915
4192.89060562,12.9706854015,0.438718001878
4194.04221919,14.9378336594,0.616705498306
4195.19383275,12.2310858781,0.379423214028
4196.34544632,13.296895789,0.395107385623
4197.49705988,12.5156900072,0.414679868579
4198.64867345,11.6070396482,0.396522426953
4199.80028701,13.3515632954,0.379702767988
4200.95190058,13.4330584528,0.385019322483
4202.10351414,13.2573192333,0.38956097418
4203.2551277,13.5966162798,0.390345273749
4204.40674127,13.2148871178,0.375190398485
4205.55835483,12.9392975369,0.375510848254
4206.7099684,12.7052686863,0.374700277428
4207.86158196,12.0271870483,0.401049884231
4209.01319553,12.7340339252,0.384781557688
4210.16480909,12.2605086263,0.36546027294
4211.31642266,12.2103886281,0.36564003583
4212.46803622,12.0459604748,0.387039297539
4213.61964979,12.5467147065,0.370797374601
4214.77126335,14.3880552783,0.405493200696
4215.92287691,13.0924230943,0.376335547325
4217.07449048,12.6027131134,0.383879004378
4218.22610404,13.1236309644,0.376978200487
4219.37771761,12.5012417427,0.387939137696
4220.52933117,13.0668681103,0.369566099715
4221.68094474,13.2857361299,0.36800722822
4222.8325583,13.4546757924,0.372859668217
4223.98417187,13.7085718008,0.37586091109
4225.13578543,13.3719725542,0.366163045588
4226.287399,13.4341511253,0.367440113192
4227.43901256,12.1108717859,0.349626977224
4228.59062612,12.7167608058,0.352479459936
4229.74223969,12.9537966233,0.356565566726
4230.89385325,11.9951300276,0.355295248915
4232.04546682,12.1523266371,0.351699197007
4233.19708038,12.3135339476,0.347141564181
4234.34869395,11.9227849436,0.341849097186
4235.50030751,12.1039864668,0.349059729847
4236.65192108,12.8349494305,0.355861702199
4237.80353464,13.3180334962,0.354927451328
4238.95514821,12.8257686522,0.347400670236
4240.10676177,11.9643128514,0.372537431737
4241.25837533,13.3841571232,0.362541549605
4242.4099889,13.5615988789,0.357768651296
4243.56160246,12.771049265,0.349159785614
4244.71321603,13.0018689195,0.35387954584
4245.86482959,12.8449010089,0.35371682287
4247.01644316,13.3497199399,0.354740806294
4248.16805672,12.0702904374,0.351155044513
4249.31967029,12.1661639791,0.36690105613
4250.47128385,12.9099467865,0.345407562007
4251.62289742,12.6294475908,0.348179113367
4252.77451098,12.492868822,0.351637423159
4253.92612454,12.1786545387,0.339723970931
4255.07773811,12.7680137107,0.339958757876
4256.22935167,12.2011940854,0.37229837654
4257.38096524,12.3283114962,0.361888606316
4258.5325788,12.5437924428,0.351400353196
4259.68419237,12.8993715801,0.352175322168
4260.83580593,13.2946204467,0.353202879012
4261.9874195,13.8746304925,0.35737544272
4263.13903306,13.4337074918,0.352020540132
4264.29064663,11.9469296177,0.330822978144
4265.44226019,11.9680472079,0.341621060035
4266.59387375,12.6720575832,0.364264732257
4267.74548732,12.1134817062,0.339013654395
4268.89710088,11.1892427645,0.348802311241
4270.04871445,11.8219541415,0.327245289646
4271.20032801,12.2052820782,0.344746214563
4272.35194158,11.2371075376,0.354744578238
4273.50355514,11.9636299311,0.328929925681
4274.65516871,12.1855472693,0.333220941652
4275.80678227,12.4282020917,0.335183014065
4276.95839584,13.6356147354,0.347920073486
4278.1100094,11.6321382932,0.321650438506
4279.26162296,12.0324545344,0.331717292735
4280.41323653,12.7193474327,0.336501970096
4281.56485009,12.6398660961,0.337849579663
4282.71646366,12.6541777765,0.332675002448
4283.86807722,11.7862284094,0.3357268026
4285.01969079,11.2652639716,0.356083684388
4286.17130435,12.1435206708,0.335090899232
4287.32291792,12.7578037873,0.331736317889
4288.47453148,12.7033713325,0.334440007352
4289.62614505,12.5692881345,0.333301012736
4290.77775861,11.5549502983,0.314258487854
4291.92937217,12.8940236258,0.329944545421
4293.08098574,13.286901859,0.333356599273
4294.2325993,12.1190001258,0.319294197987
4295.38421287,12.3770328313,0.322600769768
4296.53582643,12.0152460013,0.318879879762
4297.68744,12.2930082217,0.318859928166
4298.83905356,12.5063842915,0.321911728318
4299.99066713,12.4513387966,0.318077580742
4301.14228069,12.7752696066,0.327240657434
4302.29389426,11.9041332781,0.326758808184
4303.44550782,11.4088445265,0.303156268196
4304.59712138,12.6132533796,0.328679389217
4305.74873495,11.8228234091,0.322431528615
4306.90034851,11.6243826478,0.303331729747
4308.05196208,12.0373440321,0.312948233764
4309.20357564,12.5854188182,0.319054944267
4310.35518921,11.8031277755,0.323894513333
4311.50680277,12.289954668,0.333042469164
4312.65841634,12.9762101739,0.32736063171
4313.8100299,12.5158488259,0.319908528485
4314.96164347,11.6876793024,0.320992962268
4316.11325703,12.0253447516,0.319480843021
4317.26487059,11.3980999135,0.304620344793
4318.41648416,11.3001447883,0.310221681029
4319.56809772,11.6454144759,0.310989602422
4320.71971129,11.147373926,0.299154169869
4321.87132485,11.7022249756,0.302815899917
4323.02293842,11.7037877514,0.310094559912
4324.17455198,12.4346638943,0.307211471518
4325.32616555,11.9229575265,0.302563444394
4326.47777911,11.9057786396,0.304807651571
4327.62939267,13.0153039208,0.323506532539
